model,val_accuracy,val_f1,val_precision,val_recall,test_accuracy,test_f1,test_precision,test_recall,training_time
random_forest,0.9894598155467721,0.9894598155467721,0.9894598155467721,0.9894598155467721,0.986156888595913,0.9861201248940286,0.9862414406070037,0.986156888595913,3.085027
xgboost,0.9907773386034255,0.9907662951011874,0.9907888563871223,0.9907773386034255,0.989452867501648,0.9894444590562441,0.9894509660950077,0.989452867501648,5.219072
lightgbm,0.9907773386034255,0.9907662951011874,0.9907888563871223,0.9907773386034255,0.987475280158207,0.9874576612858968,0.9874857235058838,0.987475280158207,5.33815
neural_network,0.9881422924901185,0.9881376116489285,0.988136641288807,0.9881422924901185,0.984179301252472,0.9841537965204706,0.9841877706628295,0.984179301252472,28.421496
gradient_boosting,0.9855072463768116,0.9854658561072206,0.9856074713653903,0.9855072463768116,0.984179301252472,0.9841472451127912,0.9842082755445019,0.984179301252472,36.555063
